94K;H;10;CMB  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20020705
24K;A;3;CMB  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20020705
84K;A;22;CMB  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20020705
34K;H;20;CMB  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20020705
74K;A;8;CMB  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20020705
14A;H;20;CMM  _HARD                _000;REFERENCE DU HARD                                                                                   ;20020705
94A;H;10;CMM  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20020705
24A;A;3;CMM  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20020705
84A;A;22;CMM  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20020705
34A;H;20;CMM  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20020705
74A;A;8;CMM  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20020705
19A;H;20;COMEL_HARD                _000;REFERENCE DU HARD                                                                                   ;20050620
99A;H;10;COMEL_SOFT                _000;REFERENCE DU SOFT                                                                                   ;20050620
29A;A;3;COMEL_TYPE                _000;REFERENCE DU TYPE                                                                                   ;20050620
89A;A;22;COMEL_DOTE                _000;REFERENCE DU DOTE                                                                                   ;20050620
39A;H;20;COMEL_SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20050620
79A;A;8;COMEL_CLE                 _000;CLE APPLICATIVE                                                                                     ;20050620
11Q;H;20;CONVP_HARD                _000;REFERENCE DU HARD                                                                                   ;20091125
